t,path_0,path_1,path_2,path_3,path_4,path_5,path_6,path_7,path_8,path_9,path_10,path_11,path_12,path_13,path_14,path_15,path_16,path_17,path_18,path_19,path_20,path_21,path_22,path_23,path_24,path_25,path_26,path_27,path_28,path_29,path_30,path_31,path_32,path_33,path_34,path_35,path_36,path_37,path_38,path_39,path_40,path_41,path_42,path_43,path_44,path_45,path_46,path_47,path_48,path_49
0.253000,0.878482,1.145862,1.227326,0.840076,0.746806,0.999417,0.939722,1.295461,0.979355,1.188895,1.083123,1.150563,1.037623,0.916921,0.864648,1.186481,0.889089,1.056946,1.153212,0.702749,0.910416,1.207764,0.850310,0.970117,1.071661,1.202035,0.978882,1.230653,1.191375,0.933608,1.004341,0.883133,1.105820,1.136767,1.011377,1.028019,1.243492,0.919076,0.951196,1.025366,0.838393,0.896118,1.143340,0.878556,0.877746,1.080707,0.696612,0.899466,1.201110,0.923731
0.254000,0.880470,1.142556,1.221645,0.834033,0.735971,0.999729,0.954292,1.303819,0.978973,1.182752,1.091410,1.173451,1.030312,0.921833,0.874212,1.152630,0.877460,1.061209,1.155736,0.710910,0.900104,1.213232,0.840647,0.958460,1.078501,1.217595,0.968571,1.222083,1.209225,0.920529,0.984772,0.883630,1.102104,1.142434,1.012855,1.029603,1.234655,0.917787,0.934778,1.024701,0.837757,0.907929,1.145988,0.892575,0.877631,1.095358,0.698836,0.896348,1.203923,0.923101
0.255000,0.884317,1.152844,1.234429,0.835138,0.741148,1.006209,0.965981,1.308525,0.983252,1.181679,1.077267,1.182899,1.029822,0.910396,0.884786,1.150414,0.890353,1.084247,1.150565,0.718024,0.907636,1.207288,0.847155,0.950109,1.062791,1.218798,0.971346,1.234422,1.201022,0.911554,0.971702,0.892523,1.101852,1.145043,1.021934,1.024958,1.231820,0.912718,0.918766,1.023946,0.839704,0.912428,1.136406,0.894165,0.875178,1.102222,0.709136,0.905556,1.204885,0.924765
0.256000,0.887326,1.162304,1.242447,0.837076,0.736427,0.998739,0.954179,1.338010,0.985240,1.190710,1.084539,1.191430,1.042286,0.906078,0.881974,1.145248,0.887521,1.091660,1.164290,0.703193,0.906211,1.194565,0.845314,0.942563,1.065543,1.245141,0.955229,1.232607,1.184216,0.922319,0.984431,0.869807,1.108184,1.151795,1.022480,1.020802,1.233137,0.889173,0.928293,1.020720,0.833068,0.912763,1.129776,0.881314,0.879561,1.099363,0.711479,0.910641,1.216815,0.918503
0.257000,0.876663,1.150890,1.242448,0.829002,0.742075,0.993677,0.953040,1.328556,1.000172,1.202294,1.081465,1.199805,1.052078,0.898563,0.873441,1.162669,0.871579,1.099157,1.159130,0.705202,0.904129,1.195307,0.844156,0.958224,1.076661,1.255844,0.966206,1.238291,1.190794,0.922554,0.981589,0.868721,1.110409,1.130324,1.020222,1.022466,1.240931,0.873472,0.946785,1.020389,0.827183,0.910832,1.140670,0.889624,0.880376,1.110788,0.703059,0.909155,1.203179,0.924700
0.258000,0.871267,1.168532,1.228303,0.825767,0.742211,0.987499,0.940600,1.315471,0.999290,1.218346,1.078408,1.208073,1.049133,0.897298,0.873286,1.186428,0.853450,1.086609,1.170903,0.709086,0.912075,1.188499,0.839634,0.946399,1.082565,1.256118,0.966412,1.232508,1.187833,0.918988,0.985891,0.862063,1.116879,1.130594,1.026434,1.021774,1.235736,0.862348,0.940784,1.042301,0.821846,0.917691,1.142866,0.872966,0.866642,1.108022,0.688926,0.910918,1.224635,0.924316
0.259000,0.881310,1.170301,1.222000,0.821665,0.749887,0.993063,0.948749,1.335994,0.997864,1.235155,1.080676,1.223490,1.037305,0.902988,0.885693,1.188625,0.847012,1.072117,1.173507,0.711530,0.908136,1.181994,0.836440,0.951829,1.087854,1.243335,0.972754,1.227851,1.193694,0.906206,0.987727,0.873362,1.125698,1.139046,1.028510,1.022893,1.229236,0.864449,0.921491,1.040277,0.814351,0.908964,1.139528,0.862843,0.866792,1.108666,0.690157,0.907961,1.200168,0.921697
0.260000,0.872475,1.166026,1.212486,0.823410,0.747768,0.993981,0.951820,1.327787,1.001027,1.230322,1.072400,1.216107,1.045923,0.898113,0.905397,1.172829,0.833955,1.079715,1.175105,0.717057,0.910725,1.179082,0.832093,0.940627,1.071040,1.254541,0.979338,1.236634,1.190825,0.909873,0.989433,0.864790,1.132442,1.133816,1.021120,1.031236,1.236292,0.860016,0.917773,1.028349,0.807378,0.884544,1.130157,0.870709,0.865833,1.107754,0.687594,0.902726,1.192227,0.916713
0.261000,0.863113,1.161776,1.212522,0.814506,0.758247,0.999106,0.967536,1.336862,1.003060,1.237027,1.088032,1.234328,1.049710,0.890651,0.899388,1.165025,0.816750,1.076443,1.184573,0.723393,0.916756,1.173113,0.833059,0.934881,1.091439,1.244328,0.977705,1.237409,1.175285,0.905012,0.998941,0.853908,1.131732,1.118075,1.031694,1.035755,1.223807,0.870290,0.904978,1.015707,0.809904,0.886819,1.115814,0.867402,0.869299,1.109467,0.691393,0.901820,1.215637,0.932206
0.262000,0.861773,1.162467,1.218121,0.820292,0.772552,0.998370,0.961512,1.350126,1.004169,1.219477,1.104596,1.234099,1.056884,0.887285,0.899179,1.170690,0.811066,1.067894,1.182033,0.726486,0.907553,1.168999,0.823967,0.944811,1.115538,1.237210,0.961925,1.247326,1.194117,0.894759,1.003602,0.859917,1.138944,1.127223,1.039779,1.035112,1.231702,0.869947,0.904290,1.004552,0.814934,0.898296,1.108203,0.863390,0.871396,1.096415,0.697539,0.895322,1.216724,0.916977
